ds,yhat,yhat_lower,yhat_upper
2018-01-01,0.6837750792633841,0.268853470789003,1.115401236036209
2018-04-01,1.2952202427991821,0.8301999400615095,1.7415772750600274
2018-07-01,1.6316788329211178,1.1527934338300039,2.034136194095553
2018-10-01,2.1803662067277116,1.7394715505477103,2.5987151295230295
2019-01-01,2.951964861675741,2.493479236355475,3.3698829944308755
2019-04-01,3.1765816336618045,2.741907926263396,3.5791131538723393
2019-07-01,3.979737679935937,3.541056856683489,4.444934899962327
2019-10-01,4.537039407441412,4.079458381633867,4.978923810752969
2020-01-01,5.108163617153167,4.708548212629369,5.525396593258857
2020-04-01,5.222709961354944,4.790928261935737,5.655590199436865
2020-07-01,5.890308654780142,5.469227916522716,6.342211251057546
2020-10-01,6.929880037736893,6.49861496865495,7.353470546086332
2021-01-01,7.407311338035683,6.966275960827068,7.863462457334822
2021-04-01,8.049108502118344,7.611135154524245,8.508790486834645
2021-07-01,8.33940590561063,7.922165261986892,8.754462907773673
2021-10-01,9.050129282131405,8.649782664965697,9.506209988536963
2022-01-01,9.791925943141553,9.349093158448257,10.23428264050457
2022-04-01,10.403415792470955,9.923390557031077,10.835120249690604
2022-07-01,10.73991956493563,10.32485927209043,11.154263229194145
2022-10-01,11.28865261785523,10.86697801311949,11.722127771085123
2023-01-01,12.060296951865112,11.619578768039236,12.500105463213425
2023-04-01,12.284958409826512,11.833821597880759,12.697612861950393
2023-07-01,13.088159635571763,12.649590978154235,13.565844011573606
2023-10-01,13.645502788356879,13.214634618219007,14.087764777270094
2024-01-01,14.216668423198275,13.784582734561614,14.687493310975007
2024-04-01,14.331255742208498,13.924508685579099,14.80672146767155
2024-07-01,14.998854435458735,14.55554689686658,15.43511696151621
2024-10-01,16.038425818382013,15.597742890687325,16.46644804077048
2025-01-01,16.515857118569777,16.070050546122378,16.950716114593465
2025-04-01,17.15765428269035,16.73114291561902,17.618993075319135
2025-07-01,17.447951686264634,17.035085843012645,17.872707516894693
2025-10-01,18.158675062691138,17.74888135691667,18.579597077163502
2026-01-01,18.90047172378727,18.48164271720605,19.35225593348666
2026-04-01,19.5119615730829,19.086524838624836,19.98232478231477
2026-07-01,19.848465345677713,19.39204066963858,20.263576186625414
2026-10-01,20.3971983984453,19.98251212518727,20.84149659358041
2027-01-01,21.168842732417566,20.753392822168735,21.58683884901983
2027-04-01,21.393504190424814,20.96527910793124,21.82755060831117
2027-07-01,22.196705416130428,21.75251808548401,22.62130170420816
2027-10-01,22.754048568953593,22.29425327430279,23.176834664925266
